target_file,rep,source_tag,source_file,source_n,target_n,slice,level,assignment,delta,rho,m_gamma,m_omega,dgamma_norm,domega_norm,KL
target_n100_covshift_L0.00_biased.csv,0,source_n1000,source_n1000.csv,1000,100,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_n100_covshift_L0.00_biased.csv,1,source_n1000,source_n1000.csv,1000,100,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_n100_covshift_L0.00_biased.csv,2,source_n1000,source_n1000.csv,1000,100,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_n100_covshift_L0.00_biased.csv,3,source_n1000,source_n1000.csv,1000,100,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_n100_covshift_L0.00_biased.csv,4,source_n1000,source_n1000.csv,1000,100,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_n100_covshift_L0.00_biased.csv,5,source_n1000,source_n1000.csv,1000,100,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_n100_covshift_L0.00_biased.csv,6,source_n1000,source_n1000.csv,1000,100,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_n100_covshift_L0.00_biased.csv,7,source_n1000,source_n1000.csv,1000,100,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_n100_covshift_L0.00_biased.csv,8,source_n1000,source_n1000.csv,1000,100,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_n100_covshift_L0.00_biased.csv,9,source_n1000,source_n1000.csv,1000,100,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_n100_covshift_L0.00_biased.csv,10,source_n1000,source_n1000.csv,1000,100,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_n100_covshift_L0.00_biased.csv,11,source_n1000,source_n1000.csv,1000,100,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_n100_covshift_L0.00_biased.csv,12,source_n1000,source_n1000.csv,1000,100,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_n100_covshift_L0.00_biased.csv,13,source_n1000,source_n1000.csv,1000,100,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_n100_covshift_L0.00_biased.csv,14,source_n1000,source_n1000.csv,1000,100,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_n100_covshift_L0.00_biased.csv,15,source_n1000,source_n1000.csv,1000,100,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_n100_covshift_L0.00_biased.csv,16,source_n1000,source_n1000.csv,1000,100,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_n100_covshift_L0.00_biased.csv,17,source_n1000,source_n1000.csv,1000,100,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_n100_covshift_L0.00_biased.csv,18,source_n1000,source_n1000.csv,1000,100,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_n100_covshift_L0.00_biased.csv,19,source_n1000,source_n1000.csv,1000,100,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_n100_covshift_L0.00_biased.csv,20,source_n1000,source_n1000.csv,1000,100,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_n100_covshift_L0.00_biased.csv,21,source_n1000,source_n1000.csv,1000,100,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_n100_covshift_L0.00_biased.csv,22,source_n1000,source_n1000.csv,1000,100,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_n100_covshift_L0.00_biased.csv,23,source_n1000,source_n1000.csv,1000,100,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_n100_covshift_L0.00_biased.csv,24,source_n1000,source_n1000.csv,1000,100,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_n100_covshift_L0.00_biased.csv,25,source_n1000,source_n1000.csv,1000,100,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_n100_covshift_L0.00_biased.csv,26,source_n1000,source_n1000.csv,1000,100,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_n100_covshift_L0.00_biased.csv,27,source_n1000,source_n1000.csv,1000,100,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_n100_covshift_L0.00_biased.csv,28,source_n1000,source_n1000.csv,1000,100,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_n100_covshift_L0.00_biased.csv,29,source_n1000,source_n1000.csv,1000,100,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_n100_covshift_L0.00_biased.csv,30,source_n1000,source_n1000.csv,1000,100,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_n100_covshift_L0.00_biased.csv,31,source_n1000,source_n1000.csv,1000,100,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_n100_covshift_L0.00_biased.csv,32,source_n1000,source_n1000.csv,1000,100,covshift,0.0,biased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
